text,label,language,length
okay i\u2019m sorry but TAYLOR SWIFT LOOKS NOTHING LIKE JACKIE O SO STOP COMPARING THE TWO. c\u2019mon America aren\u2019t you sick of her yet? (sorry) ,2,en,25
@user the DC comics site has Batman 44 releases on the 9th but its out now? ,1,en,16
"""Frank Gaffrey\u002c Cliff May\u002c Steve Emerson: Brilliant. \""""""""Looming Threats: Iran\u002c Hezbollah Hamas\"""""""" is the best #cufidc session I\u2019ve had thus far."" ",0,en,21
The tragedy of only thinking up hilarious tweets for the Summer Olympics now is that in four years there may be no place for them. ,2,en,25
"""Oliseh meets with Victor Moses in London: Super Eagles coach, Sunday Oliseh, has met with Nigeria and Chelsea ... ",1,en,19
"""People always forget the fact that Shawn achieved so much in the age of 16 like his 1st single, EP and FIRST album ALL went #1 on charts"" ",0,en,28
it looks like a beautiful night to throw myself off the Brooklyn Bridge ---@Tim_Hecht ,2,en,14
@user WAIT WHAT?!?! SCOTUS makes laws!?!? since when? have i been lied to my entire 8th grade year about gov? (sarcasm intended) ,1,en,22
"""Winnipeg Sun: """"But make no mistake: Janet Jackson played to win. And did."""" #UnbreakableWinnipeg #UnbreakableWorldTour ",0,en,15
I wanna go to the studio with Ulysses n them tomorrow\u002cbut i cant. #BARS ,2,en,14
@user haven't started! I've been too caught up in TVD but since I finished that I'll probably start it tomorrow ,1,en,20
Better be with Kendrick Lamar ,0,en,5
@user a bit frustrating. I don\u2019t think I\u2019ve added you on my new PSN account. I\u2019ll do it tomorrow. ,2,en,19
Rodeo Saturday anyone going? ,1,en,4
#EDsummit15 is an opportunity for candidates like Carly Fiorina to flesh out education platforms for the 1st time: ,0,en,18
"""I just sat through Kanye West's MTV speech, what the fuck was that..."" ",2,en,13
@user injures Borderland\u002ctaking him out of the PPV.Who will replace him in the Elimination Chamber match? Watch Asylum this Sunday ,1,en,20
Great article in Rolling Stone on Rod Picott. Check it out!  I'll be interviewing Rod on the August 9th episode... ,0,en,20
Hillary's campaign now reset for the 4th time. Adding humor and heart to a person that has #neither #sadtrombone ,2,en,19
"""...Chris Gough with SIYS...Sharknado director, Anthony C. Ferrante (""""Sharknado 3: Oh Hell No!"""" debuted Wed/ re-airs tomorrow 6pm on SyFy)..."" ",1,en,20
Fianlly gaming review of Moto G3 and it is a solid performer! 7 Graphics heavy games with Moto G 3rd generation! ,0,en,21
Blow to the Lions...Joel Patfull's out for the season after breaking his hand in Sunday's loss to Adelaide. Surgery Wed morn.  #afl ,2,en,22
"""Obama, Merkel, Hollande and others are headed to Lough Erne for the G8 in June - huge story. I'll have more on #bbcnewsline in a few minutes"" ",1,en,27
Ooshma Garg started her 2nd successful company\u002c Gobble. Watch how she got to one of her biggest investors--Reid Hoffman ,0,en,19
"""#BritishBuddhu if Rahul Gandhi is really a British Citizen, I'm very concerned about the comedians out there. They may be without jobs"" ",2,en,22
This next Superbowl is on my (21st) birthday. Random fact of the day. ,1,en,13
I'm getting strong mail that Eden Hazard will become a Roo tomorrow. Pick 39 & Garlett to wherever the f*ck Hazard plays soccer. Good deal ,0,en,25
Hulk Hogan picked the wrong time to be an ass the 1st class of WWE wrestlers are dying off like flies around a zapper #RIPRoddyPiper ,2,en,25
