text,label,language,length
"RT @user: Wat? ""Christian Lindner zur NSA-Affäre: Der Staat muss den Datenmarkt stärker regulieren"" http",1,de,15
@user debería liarla en el @user con un stand que proyectara desde el público a las pantallas del concierto  #MTVDcode2016.,1,es,20
@user Please refrain from interupting Dan's rants on Dana White with a stupid ass Sunday Countdown commercial...     k? thanks! ,2,en,19
@user kurzprosa,1,de,2
"Aii,y que se me pasa felicitar a @user y no puede ser!! Muchaass felicidades Mara,espero que hayas pasado un día muy bonito",0,es,22
"@user The tweet is from January, during the Charlie Hebdo crisis."" ",1,en,11
@user WELL CLEARLY YOURE NOT COOL,2,de,6
"""Why the most lovely artists are not always understood? Lady gaga, justin bieber, miley cyrus etc etc today they have to know that..."" ",1,en,23
"@user se llama Wolf, es la mascota #SeSalen en apoyo a los deportistas paralímpicos  Más inf http 😃",1,es,18
Die 2. Klässer heissen die neuen 1. Klässler im Schuljahr und im Schulhaus Hofmatt 1 herzlich willkommen. http,0,de,18
En pleno 2017 y hay servicios que sólo se pueden utilizar con Windows...,2,es,13
@user I'm taking my uncle to LAX tomorrow and can't decide if I want to go there or Dunkin Donuts after I trip him off lol. ,1,en,26
RT @user: Schweiz Tourismus schäumt wegen der Oprah-Geschichte vor Wut. Vorteil: Den Schaum kann man dann bestens schlagen. http,2,de,19
"Mi imposible quiere irse a Europa. Yo tenía pequeñas esperanzas sabiendo que era imposible, pero ahora se las lleva para Europa",2,es,21
Fahrradhelm Bicycle Gear Helm Erwachsene Gr. L blau http,1,de,9
Cuando contrato 500mbs extra y llevo consumido 3 Gb JAJAJA cuando vea la factura no habrá tanta risa,2,es,18
"@user Arschlöchern in eine Schublade stecken sollen. Ich bin komplett anders, als meine Geschlechtsgenossen.",2,de,14
@user perfect ! Wednesday I'm done at 1150 . I'll be waiting . Can we go to IHOP one day ? ,0,en,21
"@user no te conozco, pero tras un vistazo en tw pareces guapa e interesante. Ánimo, espero que puedas recuperarte poco a poco",0,es,22
En serio que feo ir al mall este día. Mañana seguro estará peor.,2,es,13
Se viene algo bueno #Navidad #Imelda #Tronconavideño #Fresas #frambuesas #blueberries @ Imelda,0,es,12
Thank you to Brenda May Callander jp Peter tanya (I think) briana  zack Austin Andrew  and I'm thinking grandma... ,0,en,19
"Ahora que estoy en Madrid casi no puedo hacer fotos chachis, solo a mi careto y no",2,es,17
RT @user: @user http,1,de,4
#clouds #staatskanzlei #munich #münchen #blau #wolken #himmel #sky #silhouette #instagood… http,1,de,11
"dasErste Mediathek http text/css Unglaublich! ""Miete rauf, Mieter raus!""",2,de,9
"@user ah bueno, eso duele menos que el dedo del pie heee jajaja calma calma... laura lo arregla",0,es,18
"Y en mi momento de alta autoestima/ego, les puedo asegurar que mi sonrisa se contagia  (en persona, obviamente)",0,es,18
@user FLEX! wäre so schon vor 10 Jahren nötig gewesen :(,2,de,11
"RT @user: @user Zitat von ihr: ""Ich lerne gerade gelassener zu sein und rege mich kaum noch auf."" HAHAHAHAHA",0,de,19
Art may or may not be the hardest class EVER ,1,en,10
"No se que está pasando conmigo ultimamente, pero extraño a toodooos",1,es,11
"@user Du willst echt nicht bis zum Marathon warten, was? X'DDD",0,de,11
"@user siempre habrá algo amiga, pero con el tiempo lo superas y pierden importancia",0,es,14
Nicole choteando idiotas desde tiempos inmemorables!,1,es,6
@user wahrscheinlich besser so. mein blöder hang zu gossip ...,2,de,10
@user I haven't been able to watch TVD live these days due to Football. Every Thurs there is high school FB going on at 8pm. Like WTF! ,2,en,27
@user hola vengo de intagram  en verdad ya te seguia pero hola igualmente🙄❤️,0,es,13
@user Jau-das mache ich auch-meistens. Wenn ich nicht gerade einkaufen muss oder ähnliches ;) @user,0,de,15
"No me niegues, Señor, tu misericordia; que siempre me protejan tu amor y tu verdad. Salmos 40:11 Buen día a todos",0,es,21
The Apple Watch may just change the way we travel. How do you think smart watches will aid our trips? ,0,en,20
"@user de sobra, si solo somos 3  dime tu ID y ya te agrego",1,es,14
"If Apple is upgrading the camera on the iPhone 6s models, I seriously may upgrade...&amp; my phone isn't even 1yr old yet! #photographyproblems. ",0,en,23
Bruh what if they made a new Friday with Ice Cube Son and DC Young Fly as smokey ,1,en,18
@user el pueblo crema está feliz con lo de Vento!,0,es,10
@user ohh I think on Saturday! it's Alli Simpson and Madison Pettis <-- girl from live with boys omg I wanna go tooooo! :$ ,0,en,24
"@user que buena, esos alucinados que fingen ser Lobos, y esos que fingen ser gay y no saben nada de nosotros",1,es,21
@user : 1 way to lose votes is to side with a cheater like Tom Brady. 2nd way is to think its ok that #KimDavis  was arrested. ,2,en,27
"Ausgeglichenes Spiel,Hummels mal wieder ne Katastrope. Ein UE wäre wohl verdient gewesen aber so ists auch Ok. http",2,de,18
@user Oh ja... und wenn man dann auch noch unterm Bett säubern muss ._.,2,de,14
@user 👍🏻 aunque mejor todavía no tener caja tonta.  Desde que no veo la tele el día me cunde mucho más,0,es,21
RT @user: Knackige Slogans gesucht! http Können uns vielleicht @user oder @user helfen? #followerpower #…,1,de,15
my bestfriend is performing for tomorrow Nurses Day in school. hopefully she'll do fine up on the stage. i love you :* @user ,0,en,23
Seattle lost last night which brought Tuesday to a close at 2-4 at -$50. The Rockies ML was make or break even and Kris Bryant answered. ,1,en,26
@user Muchas gracias!! Feliz por haber formado parte de esta edición del Master!,0,es,13
Vine a mi casa porque mis papás dicen que los tengo abandonados y me chantajearon con comida pero hoy iba para la playa en la noche,1,es,26
#bz: Kein Geldbeutel: Karl Lagerfeld bezahlt niemals selbst http #berlin,1,de,10
AmandaGirl: Alter: 19 Sternzeichen: Schütze PLZ- Bereich: 3 Geschlecht: weiblich Augenfarbe: braun Hobbies: Sp... http,1,de,15
@user Völlig bescheuert. :3 Einfach nicht mit solchem Unsinn beschäftigen. w,2,de,11
"@user Qué buena pinta.. se parece mucho a un ""suquet de rape"" por aquí",0,es,14
"Este día sera, muy pero muy largo ..",2,es,8
@user: Ashley darf dann gerne auf eine aussichtslose Mission gehen... ^^,0,de,11
Unser Nachbars Hund :3 süßer kleiner Kerl &gt;w&lt; http,0,de,9
Deal of the Hour $2622 & up -- Brazil\u002c Chile\u002c Uruguay & Argentina Tours w/Air: Through April #deals ,1,en,18
"@user @user @user I so agree! You did awesome, Curtis :) I may hate Metatron, but I don't hate you. YOU ROCK!"" ",0,en,22
Erschma 2 Eis hintereinander reinpfeifen!,0,de,5
"""Paul Dunne, amateur co-leader at The Open, entered the tourney at 1500:1 odds (via @user and entered Sunday at 300:1 @user ",1,en,21
@user um chicken duh ily,0,de,5
Venedig: Großer Preis der Jury für Film aus Taiwan! http http,1,de,11
I had a dream that Brock Lesnar won the 3rd annual #WMT because he F5d everyone. I woke up hoping it wasn't a dream. ,0,en,24
"""just saw a report where forecasters are showing snow for @user neck of the woods on Wed. Oh boy!!! ",2,en,19
Saftig geschriebener Taschentrafo,2,de,3
"""Bubble Tea Yogurmet, you'll love it, come to Miramar and starting next Saturday we will be open at Doral.10712 NW 74th St"" ",0,en,22
"#Luhukay: ""Keine neuen Verletzten. #Wagner steigt heute wieder ins Training ein."" #hahohe",1,de,12
"Va, aprovechad q estoy aburrido y de vacaciones, y me apetece dibujar tradicional, decidme un diseño de tattoo sencillo y molón",1,es,21
"Northern Ireland 1-0 England: The night Windsor Park blew David Beckham away: In the aftermath maybe, just may... ",0,en,18
RT @user I find it ironic that I almost certainly would not be a Yankees fan today if I hadn't gone to college near Boston #rand ... ,1,en,27
"""You may not know it, but Carly Fiorina can gush over Islam darn near as good as Obama. ",0,en,18
A Thursday night with no Waterloo road on! #boring ,2,en,9
Es tiempo de una nueva aventura,1,es,6
"Aah ya... Porque @user es el ser más rastrero, egoísta, infantil y GILIPOLLAS que existe en el mundo",2,es,18
@user algún día me mandaras un md y me dirás cosas bonitas como te digo yo  te quiero 😳💞,0,es,19
Let the debate begin: Eli or Big Ben: When the Steelers play the Giants on Sunday\u002c there will be something swirling... ,1,en,21
@user es lo que tiene ser el mejor,1,es,8
"@user Wenn der Fernseher weiß bleibt, könnte aber auch ne weiße Dingens ... lach, kreisch, gacker #tvwerbungaushauseblocki",0,de,17
"""Caitlyn Jenner may not be """"down"""" with gay marriage, but she should really understand that people are gonna see that as hypocritical."" ",2,en,22
@user Ojalá pudiera darte el abrazo en vivo o al menos acompañarte hoy. Siento mucho lo de tu primo,1,es,19
"""Obviously Kendrick, sorry Frank """"the disappearing act"""" Ocean ",1,en,8
"@user no te preocupes ^^ como dije...ELF puede hacer lo que quiera, a mi solo me importa SJ",1,es,18
"1 y 2 correctas. 3, ni una.   http",1,es,8
ich lieeeeeebe diesen tanz :)) aba den salto krieg ich zum verrecken einfach nicht hin sorry x'DDDD,0,de,17
"„Acta Materialia Student Award 2013“ für Dr. Melanie Timpel, #HZB. Preisübergabe 28. Oktober, MS&amp;T, Montreal. (arö) http",1,de,17
@user Von denen wird mir immer schlecht.,2,de,7
Ooshma Garg started her 2nd successful company\u002c Gobble. Watch how she got to one of her biggest investors--Reid Hoffman ,0,en,19
I've already DESTROYED your revision of what Tony Blair said &amp; provided a link. Tell me more about your expertise ,2,en,20
"guten morgen aus hannover. mal sehen, was der tag so bringt. start mit #mobilepayments @ Park Inn By… http",1,de,19
@user:#Hypo #Real #Estate Ex Chef klagt seit Jahren sein Gehalt ein.Nun fordert HRE Schadenersatz v Ex-Managern http,1,de,17
"@user Nee, klappt nicht:/",2,de,4
@user una oleada de cosas homófobas días anteriores,2,es,8
"RT @user: NSA-Kritiker Ilija Trojanow: ""Die Regierung verteidigt unsere Rechte nicht"" http",2,de,12
"@user jajaja perdón, la serie está muy buena",0,es,8
LOL Too clever by half! Your daddy was disappointed over Yakub's hanging &amp; he was a dreaded terrorist! Get it?  ,2,en,20
"@user Por cierto, encantado de conocerte virtualmente  Tenemos a @user en común. Saludetes.",0,es,13
@user tengo que hablar todavía con las librerías pero a ver si cae la primera este mes ya  @user,0,es,19
"@user @user @user es un término coloquial, no un análisis",1,es,10
"@user no lo es, tranquila",0,es,5
"RT @user: @user : ""und sie sind also der Sohn von Frau blaskow?"" - nachtwächter des Hotels: ""und das müsst ihr jetzt auf…",1,de,23
"Último dia en Elche, ahora toca Benidorm",1,es,7
@user @user @user @user @user Heyes sind AP das alleindas ist cool:D ich glaube nicht das die Plätze schlecht sind,0,de,20
@user Hola Luis!! Vendrás a Barcelona a promocionar #TardeParaLaIra ?? Un abrazo crack y feliz día!,0,es,16
Pero tambien ha sido el año en el cual mas he viajado y conocido personas excelentes,0,es,16
RT @user: partnerschafte funktionieret nöd well d'mensche scheisse sind,2,de,9
Iran: Krieg in Syrien führt zu mehr Terrorismus: Teheran (dpa) - Ein Militärschlag gegen Syrien löst nach Eins... http,1,de,19
Tengo hora y media libre en Heredia.,0,es,7
"Na toll, ich muss dem #Taxi Fahrer den Weg erklären ... #Frankfurt ",2,de,12
"@user @user agree. We need every country that is pissed off with Muslims to march against Islam at same time, same day"" ",2,en,22
"""I guess with DJ it's a Sunday thing and not a final round thing, and Paul Dunne? Are you kidding me? #OpenChampionship"" ",2,en,22
RT @user: Urteil: Katholische Schule darf muslimischen Jungen ablehnen... http,1,de,10
Going to see Paper Towns on Saturday. I'm hoping it does the book justice. ,1,en,14
"@user @user clado que sí. En serio, gracias por todo lo que nos has enseñado",0,es,15
"@user @user Claro, yo quería por eso de manifiesto, hay cables chinos cojonudos. Otra cosa es que te compres el mas barato",0,es,22
Amnesia ✨  Terminas de verlo y no tienes npi de que has visto  Los protas son re lindos 🌚 Esta bien la verdad 👌 http,0,es,25
"""US Open: Anderson ends Murray's hope, Federer, Wawrinka rolls on: New York, Sept 8 : Kevin Anderson, the world... ",1,en,19
@user jajaja ya ves teneis algo encontra mia  espero que la proxima vez sea de vuestro equipo 😂,2,es,18
"""@user: #Islamisten terrorisieren liberale #Assad-Gegner | STERN.DE http #Politik #Bundestagswahl""@user",1,de,10
I just offered to bring someone Taco Bell for lunch tomorrow & they denied me #WhoDoesThat!? You should always accept Taco Bell! #Always ,2,en,23
Oo na kung Bitter :(((,2,de,5
Alasan Kempf Tolak Gabung Juventus: Wonderkid Eintracht Frankfurt; Marc Oliver Kempf menolak untuk pindah ke J... http,1,de,17
Glückliche Pärchen. Ih. Pfui. Bäh. Aus!,2,de,6
Tres cosas para lo que no soy buena: 1- cocinar 2- maquillaje 3- cantar. Pero así me quieren,1,es,18
@user @user after hearing the 3-11 day news and another! Overtime the rest of the year! Plus Mexico in January!! I'm ready guys!!! ,0,en,23
@user especially because it was in german. Danke Schönes Mädchen😊,0,de,10
Neue Autos stossen weniger Abgase aus: http #News #Liechtenstein,1,de,9
"@user haha, auch nicht schlecht xD naja weiß nicht fand sie iwie immer cool, lustig, frech... xD hat nur doofe Kräfte halt xD haha",0,de,24
"@user @user @user @user ""Resultad Sobrevives"" lo de estar loco funciona",1,es,11
"""UK Home Sec Theresa May, a MoU with Saudi Arabia and why global condemnation of human rights record won't happen  ",2,en,20
Hey James Franklin when I play madden and I get sacked on 3rd and have to punt I don't let the clock run down to call a timeout to punt ,2,en,30
"""Frank Gifford now being serenaded with """"Turn Out The Lights"""" by Don Meredith. #RIP ",1,en,14
que cool todo mundo me deja en gris,2,es,8
